city,zip,ZCTA5
Philadelphia,19126,19126
Philadelphia,19127,19127
Philadelphia,19128,19128
Philadelphia,19129,19129
Philadelphia,19130,19130
Philadelphia,19131,19131
Philadelphia,19132,19132
Philadelphia,19133,19133
Philadelphia,19134,19134
Philadelphia,19135,19135
Philadelphia,19136,19136
Philadelphia,19137,19137
Philadelphia,19138,19138
Philadelphia,19139,19139
Philadelphia,19140,19140
Philadelphia,19141,19141
Philadelphia,19142,19142
Philadelphia,19143,19143
Philadelphia,19144,19144
Philadelphia,19145,19145
Philadelphia,19146,19146
Philadelphia,19147,19147
Philadelphia,19148,19148
Philadelphia,19149,19149
Philadelphia,19150,19150
Philadelphia,19151,19151
Philadelphia,19152,19152
Philadelphia,19153,19153
Philadelphia,19154,19154
Philadelphia,19197,19197
Seattle,98177,98177
Seattle,98133,98133
Seattle,98155,98155
Seattle,98125,98125
Seattle,98177,98177
Seattle,98107,98107
Seattle,98103,98103
Seattle,98115,98115
Seattle,98105,98105
Seattle,98195,98195
Seattle,98199,98199
Seattle,98119,98119
Seattle,98109,98109
Seattle,98102,98102
Seattle,98112,98112
Seattle,98121,98121
Seattle,98101,98101
Seattle,98122,98122
Seattle,98104,98104
Seattle,98144,98144
Seattle,98134,98134
Seattle,98118,98118
Seattle,98108,98108
Seattle,98106,98106
Seattle,98126,98126
Seattle,98116,98116
Seattle,98136,98136
Seattle,98146,98146
Seattle,98168,98168
Seattle,98178,98178
